Date : 2026-02-01 08:36:41
Directory : c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard
Total : 116 files,  17151 codes, 508 comments, 1758 blanks, all 19417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\NotificationMenu.jsx                              | JavaScript JSX |         86 |          0 |         10 |         96 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Onboarding.jsx                                    | JavaScript JSX |        105 |          0 |         16 |        121 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Onboarding2.jsx                                   | JavaScript JSX |        179 |          0 |         19 |        198 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ReportsPageComponents\ReportPDF.jsx               | JavaScript JSX |         46 |          5 |         13 |         64 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\ReportsPageComponents\ReportsCharts.jsx           | JavaScript JSX |        142 |          4 |         16 |        162 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AdminNotificationsStyle.css                | PostCSS        |        191 |          0 |         32 |        223 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AdminUsersStyle.css                        | PostCSS        |        297 |          7 |         54 |        358 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AnotherPageStyle\LegalPages.css            | PostCSS        |         58 |          0 |         10 |         68 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\AnotherPageStyle\LoginPageStyle.css        | PostCSS        |        229 |          2 |         31 |        262 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\BillsListStyle.css                         | PostCSS        |        113 |          3 |         17 |        133 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\AddDebtModalStyle.css      | PostCSS        |         87 |          0 |         11 |         98 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\ConfirmationModalStyle.css | PostCSS        |         93 |          0 |         13 |        106 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtCardStyle.css          | PostCSS        |        163 |          2 |         27 |        192 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtHistoryModalStyle.css  | PostCSS        |        264 |          9 |         40 |        313 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtsPageStyle.css         | PostCSS        |        226 |          2 |         38 |        266 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\DebtsPageStyles\DebtsTableStyle.css        | PostCSS        |        226 |         12 |         37 |        275 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\ExpensePageStyles\ExpensePageStyle.css     | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\HomePageStyle.css           | PostCSS        |        146 |          0 |         24 |        170 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\HomePageStyles\MyCardsStyle.css            | PostCSS        |        153 |          0 |         26 |        179 |
